Team 1 VS Team 2,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Match Link,Ground Link
Australia VS India,Australia,India,Australia,125 runs,Johannesburg,"Mar 23, 2003",ODI # 1993,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/australia-vs-india-final-65286/full-scorecard,https://www.espncricinfo.com/cricket-grounds/the-wanderers-stadium-johannesburg-59120
India VS Kenya,India,Kenya,India,91 runs,Durban,"Mar 20, 2003",ODI # 1992,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/india-vs-kenya-2nd-semi-final-65285/full-scorecard,https://www.espncricinfo.com/cricket-grounds/kingsmead-durban-59089
Australia VS Sri Lanka,Australia,Sri Lanka,Australia,48 runs,Gqeberha,"Mar 18, 2003",ODI # 1991,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/australia-vs-sri-lanka-1st-semi-final-65284/full-scorecard,https://www.espncricinfo.com/cricket-grounds/st-george-s-park-gqeberha-59159
Australia VS Kenya,Australia,Kenya,Australia,5 wickets,Durban,"Mar 15, 2003",ODI # 1990,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/australia-vs-kenya-9th-super-65283/full-scorecard,https://www.espncricinfo.com/cricket-grounds/kingsmead-durban-59089
Sri Lanka VS Zimbabwe,Sri Lanka,Zimbabwe,Sri Lanka,74 runs,East London,"Mar 15, 2003",ODI # 1989,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/sri-lanka-vs-zimbabwe-8th-super-65282/full-scorecard,https://www.espncricinfo.com/cricket-grounds/buffalo-park-east-london-59098
India VS New Zealand,India,New Zealand,India,7 wickets,Centurion,"Mar 14, 2003",ODI # 1988,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/india-vs-new-zealand-7th-super-65281/full-scorecard,https://www.espncricinfo.com/cricket-grounds/supersport-park-centurion-59079
Kenya VS Zimbabwe,Kenya,Zimbabwe,Kenya,7 wickets,Bloemfontein,"Mar 12, 2003",ODI # 1987,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/kenya-vs-zimbabwe-6th-super-65280/full-scorecard,https://www.espncricinfo.com/cricket-grounds/mangaung-oval-bloemfontein-59042
Australia VS New Zealand,Australia,New Zealand,Australia,96 runs,Gqeberha,"Mar 11, 2003",ODI # 1986,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/australia-vs-new-zealand-5th-super-65279/full-scorecard,https://www.espncricinfo.com/cricket-grounds/st-george-s-park-gqeberha-59159
India VS Sri Lanka,India,Sri Lanka,India,183 runs,Johannesburg,"Mar 10, 2003",ODI # 1985,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/india-vs-sri-lanka-4th-super-65278/full-scorecard,https://www.espncricinfo.com/cricket-grounds/the-wanderers-stadium-johannesburg-59120
New Zealand VS Zimbabwe,New Zealand,Zimbabwe,New Zealand,6 wickets,Bloemfontein,"Mar 8, 2003",ODI # 1984,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/new-zealand-vs-zimbabwe-3rd-super-65277/full-scorecard,https://www.espncricinfo.com/cricket-grounds/mangaung-oval-bloemfontein-59042
India VS Kenya,India,Kenya,India,6 wickets,Cape Town,"Mar 7, 2003",ODI # 1983,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/india-vs-kenya-2nd-super-65276/full-scorecard,https://www.espncricinfo.com/cricket-grounds/newlands-cape-town-59068
Australia VS Sri Lanka,Australia,Sri Lanka,Australia,96 runs,Centurion,"Mar 7, 2003",ODI # 1982,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/australia-vs-sri-lanka-1st-super-65275/full-scorecard,https://www.espncricinfo.com/cricket-grounds/supersport-park-centurion-59079
Kenya VS West Indies,Kenya,West Indies,West Indies,142 runs,Kimberley,"Mar 4, 2003",ODI # 1981,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/kenya-vs-west-indies-42nd-match-65274/full-scorecard,https://www.espncricinfo.com/cricket-grounds/diamond-oval-kimberley-59135
Zimbabwe VS Pakistan,Zimbabwe,Pakistan,no result,-,Bulawayo,"Mar 4, 2003",ODI # 1980,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/zimbabwe-vs-pakistan-41st-match-65273/full-scorecard,https://www.espncricinfo.com/cricket-grounds/queens-sports-club-bulawayo-59537
South Africa VS Sri Lanka,South Africa,Sri Lanka,tied,-,Durban,"Mar 3, 2003",ODI # 1979,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/south-africa-vs-sri-lanka-40th-match-65272/full-scorecard,https://www.espncricinfo.com/cricket-grounds/kingsmead-durban-59089
Canada VS New Zealand,Canada,New Zealand,New Zealand,5 wickets,Benoni,"Mar 3, 2003",ODI # 1977,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/canada-vs-new-zealand-38th-match-65270/full-scorecard,https://www.espncricinfo.com/cricket-grounds/willowmoore-park-benoni-59039
Namibia VS Netherlands,Namibia,Netherlands,Netherlands,64 runs,Bloemfontein,"Mar 3, 2003",ODI # 1978,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/namibia-vs-netherlands-39th-match-65271/full-scorecard,https://www.espncricinfo.com/cricket-grounds/mangaung-oval-bloemfontein-59042
Australia VS England,Australia,England,Australia,2 wickets,Gqeberha,"Mar 2, 2003",ODI # 1976,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/australia-vs-england-37th-match-65269/full-scorecard,https://www.espncricinfo.com/cricket-grounds/st-george-s-park-gqeberha-59159
