Team 1 VS Team 2,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Match Link,Ground Link
Australia VS Pakistan,Australia,Pakistan,Australia,8 wickets,Lord's,"Jun 20, 1999",ODI # 1484,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/australia-vs-pakistan-final-65234/full-scorecard,https://www.espncricinfo.com/cricket-grounds/lord-s-london-57129
Australia VS South Africa,Australia,South Africa,tied,-,Birmingham,"Jun 17, 1999",ODI # 1483,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/australia-vs-south-africa-2nd-semi-final-65233/full-scorecard,https://www.espncricinfo.com/cricket-grounds/edgbaston-birmingham-56788
New Zealand VS Pakistan,New Zealand,Pakistan,Pakistan,9 wickets,Manchester,"Jun 16, 1999",ODI # 1482,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/new-zealand-vs-pakistan-1st-semi-final-65232/full-scorecard,https://www.espncricinfo.com/cricket-grounds/old-trafford-manchester-57160
Australia VS South Africa,Australia,South Africa,Australia,5 wickets,Leeds,"Jun 13, 1999",ODI # 1481,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/australia-vs-south-africa-9th-super-65231/full-scorecard,https://www.espncricinfo.com/cricket-grounds/headingley-leeds-57092
India VS New Zealand,India,New Zealand,New Zealand,5 wickets,Nottingham,"Jun 12, 1999",ODI # 1480,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/india-vs-new-zealand-8th-super-65230/full-scorecard,https://www.espncricinfo.com/cricket-grounds/trent-bridge-nottingham-57219
Pakistan VS Zimbabwe,Pakistan,Zimbabwe,Pakistan,148 runs,The Oval,"Jun 11, 1999",ODI # 1479,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/pakistan-vs-zimbabwe-7th-super-65229/full-scorecard,https://www.espncricinfo.com/cricket-grounds/kennington-oval-london-57127
New Zealand VS South Africa,New Zealand,South Africa,South Africa,74 runs,Birmingham,"Jun 10, 1999",ODI # 1478,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/new-zealand-vs-south-africa-6th-super-65228/full-scorecard,https://www.espncricinfo.com/cricket-grounds/edgbaston-birmingham-56788
Australia VS Zimbabwe,Australia,Zimbabwe,Australia,44 runs,Lord's,"Jun 9, 1999",ODI # 1477,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/australia-vs-zimbabwe-5th-super-65227/full-scorecard,https://www.espncricinfo.com/cricket-grounds/lord-s-london-57129
India VS Pakistan,India,Pakistan,India,47 runs,Manchester,"Jun 8, 1999",ODI # 1476,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/india-vs-pakistan-4th-super-65226/full-scorecard,https://www.espncricinfo.com/cricket-grounds/old-trafford-manchester-57160
New Zealand VS Zimbabwe,New Zealand,Zimbabwe,no result,-,Leeds,"Jun 6-7, 1999",ODI # 1475,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/new-zealand-vs-zimbabwe-3rd-super-65225/full-scorecard,https://www.espncricinfo.com/cricket-grounds/headingley-leeds-57092
Pakistan VS South Africa,Pakistan,South Africa,South Africa,3 wickets,Nottingham,"Jun 5, 1999",ODI # 1474,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/pakistan-vs-south-africa-2nd-super-65224/full-scorecard,https://www.espncricinfo.com/cricket-grounds/trent-bridge-nottingham-57219
